,Datetime,Tweet Id,Text
39,2020-04-14 16:54:40,1250105199378587648,"RT @1woo17: HS:
Jihoon ah, you'll probably know where i am when you come to wvrse, right?
I'm sorry. I said i'd go to the studio, but i don…"
40,2020-04-14 16:54:36,1250105183419285507,RT @thesnowblack: @httphearts Im too tired to stay because you dont love me as i do. Leaving you might hurt me but it is the best to try li…
41,2020-04-14 16:54:35,1250105178512068611,@zyubra_ @cutiegkms How you dowload video ? I have account but i dont know how to download can tell me pleas🙏🏻
42,2020-04-14 16:54:28,1250105151928455168,@skeletongraves I HONESTLY DONT KNOW! I LOVE FAKE YOU OJT BUT I ONLY REMEMBER GETTING ASKED ABOUT IT ONCEEE
43,2020-04-14 16:54:25,1250105140029411331,ouuoogghghgh i dont wanna work on my class i want it to be over i already know im gonna fail the final bc the onlin… https://t.co/BgbiwLiJ9j
44,2020-04-14 16:54:15,1250105097302036480,"@The_Bails_Fall @talkRADIO @susiejmoon @Iromg homes never go bust, they get bought over by bigger care companies as… https://t.co/vxoGOLfuBJ"
45,2020-04-14 16:54:15,1250105095930417153,RT @2kinassbichss: 'Its still rapping whether they write it or not' !?When r kpopies gonna learn that Rapping is NOT the same as singing an…
46,2020-04-14 16:54:12,1250105085100777479,bitch i know you got my telepathic message dont air me
47,2020-04-14 16:54:12,1250105082613501954,"RT @TheFavoredWoman: All you 30+ married men, please don't come and waste my time in my DMs forming lame ass friendships.

I know lockdown…"
48,2020-04-14 16:54:10,1250105074077982720,RT @tomoeudgawa: i don't care if you dont like tomoe udagawa. i don’t care if you dont stan tomoe. i don’t care if you dont even know who t…
49,2020-04-14 16:54:09,1250105070949195776,"RT @1woo17: HS:
Jihoon ah, you'll probably know where i am when you come to wvrse, right?
I'm sorry. I said i'd go to the studio, but i don…"
50,2020-04-14 16:54:07,1250105061012901903,@USlawreview Lol you dont need to know my city nor my home address. I dont care if you know me or not. Hospitals in… https://t.co/D2ceanLHfF
51,2020-04-14 16:53:54,1250105009460727808,"i know i dont want to

he is the one that you want to"
52,2020-04-14 16:53:53,1250105005346099201,"yall dont have to tell me.. im aware i suck at texting, you know what that means? dont text me"
53,2020-04-14 16:53:49,1250104988417830913,RT @sabrinaanc: I hate the child support conversation on Twitter so much 🤣🤣 I don’t even know why I read through it knowing it makes me mad…
54,2020-04-14 16:53:48,1250104983997087756,Someone noted that I dont follow many accounts. True. I am not looking for perfect trees and expensive tools etc. S… https://t.co/jOCSlxpLF3
55,2020-04-14 16:53:43,1250104963109244930,"@neilminyard10 omg imagine if the vibes katelyn sends out from neil's body irritates andrew and aaron, one way or a… https://t.co/8E9cmrZvuL"
56,2020-04-14 16:53:42,1250104957761728512,RT @aditicm: @bigbasket_com At this point I dont know if a bot is answering or if there is an actual human on the other end of this convers…
