,Datetime,Text
35,2020-04-14 22:57:51+00:00,He should be reading the names of the victims of COVID-19 and show some compassion... but he really doesn't care
36,2020-04-14 22:57:51+00:00,This is the bat that started COVID-19 
37,2020-04-14 22:57:51+00:00,@GordonRamsay you think I can make it on next season?! #COVID19 #QuarantineLife #MasterChef #TikTokTuesday
38,2020-04-14 22:57:51+00:00,#República | Confirma Gobernador de BC muerte de colaborador por Covid-19 Bonilla Valdez se mostró preocupado por la elevada cifra de casos y muertes por Covid-19 que ha mostrado la entidad 
39,2020-04-14 22:57:51+00:00,Avance de la curva de contagios por #Covid_19 en #Ecuador. Fuente: @elcomerciocom #Covid_19 #COVID19 #14Abr #14Abril #coronavirus
40,2020-04-14 22:57:50+00:00,"Miente Brasil , miente USA , miente United Kingdom y miente China . La realidad es q no hay una cifra real de la verdadera magnitud de los contagios. COVID19 , no es una arma arrojadiza ."
41,2020-04-14 22:57:50+00:00,State border testing for #Covid19 yet we get no testing for people that are sick?
42,2020-04-14 22:57:50+00:00,Be wary of individuals who contact you and claim the government has mandated you take a #COVID19 test or demand payment for treatment for a friend or relative. Report suspected #fraud to the Internet Crime Complaint Center at http://www.ic3.gov. http://www.fbi.gov/coronavirus
43,2020-04-14 22:57:50+00:00,"E o ""Contágio"" do Soderbergh? É o filme do covid-19 mesmo lançado em 2011. Tem até uma ""cloroquina"" na história. Por sorte da ficção, não há bozo."
44,2020-04-14 22:57:50+00:00,"Watch, in real time, as @realDonaldTrump lies and obfuscates when dodging questions about how his admin. prepared for the Covid 19 pandemic. All because of political partisanship."
45,2020-04-14 22:57:50+00:00,"What percentage of Homes are actually Unsafe from Children ? The COVID-19 is defintely Unsafe for Everyone ! Schools- Pupils, teachers and staff are in an unsafe environment if not at home ! "
46,2020-04-14 22:57:50+00:00,@WSJ also reports how Britain seems to be ‘severely undercounting the true mortality figures.’ Our government needs to check themselves before they criticise other nations. #COVID19 #UKlockdown
47,2020-04-14 22:57:50+00:00,covid-19 nós precisamos conversar 
48,2020-04-14 22:57:50+00:00,Would you consider a charity shout out? Kids fight cancer every day regardless of COVID-19. We are continuing to raise money so we can find a cure for our littlest cancer warriors! Visit http://www.pcrf-kids.org to learn more!
